Headcount;Poverty.Line.Month;Mean;Median;Gini;Population.Density;Consumption;Arab.Region;East.Asia.and.the.Pacific;Europe.and.Central.Asia;Latin.America.and.the.Caribbean;South.Asia;Sub.Saharan.Africa;Urban.Pop;Age.Dependency;Mean_Class.A;Mean_Class.B;Mean_Class.C
39.899999;68.014755;117.908599853516;81.4850616455078;42.8200602531433;39.6231981553172;1;0;0;0;0;0;1;49.746;88.600675548789;1;0;0
37.5;78.84156;153.475296020508;103.754501342773;46.64086997509;47.9826066721669;1;0;0;0;0;0;1;53.976;85.6335342588988;1;0;0
69.300002;23.637835;22.5996894836426;16.0652904510498;42.1636313199997;23.40878234;1;0;0;0;0;0;1;37;95.06501202;1;0;0
63.9;43.20545;45.706600189209;32.9324417114258;42.0997112989426;30.4451807414922;1;0;0;0;0;0;1;41.082;97.4559441563328;1;0;0
50.700003;53.599355;81.8776168823242;52.260368347168;47.3305404186249;10.6084187408492;1;0;0;0;0;0;1;60.988;80.0856988758236;1;0;0
40.900001;59.501079;110.899200439453;71.9856491088867;48.9386707544327;12.8692357247438;1;0;0;0;0;0;1;63.712;79.7995501374216;1;0;0
49.700001;160.33167;294.399993896484;159.466506958008;56.0189008712769;36.8412465074358;0;0;0;0;1;0;0;74.797;59.1027695507834;1;0;0
37.200001;159.7274;384.833801269531;216.931198120117;54.6254813671112;40.7595304191077;0;0;0;0;1;0;0;77.964;51.1828718491393;1;0;0
36.300001;193.47441;445.132690429688;266.236297607422;52.5510191917419;42.332317260027;0;0;0;0;1;0;0;79.415;48.0811270706241;1;0;0
35.699999;193.71268;434.496398925781;268.798095703125;51.3349711894989;45.3712870662461;0;0;0;0;1;0;0;81.104;45.74415694;1;0;0
42.399999;102.24662;170.897506713867;116.76969909668;45.3345894813538;408.054809242343;1;1;0;0;0;0;0;28.338;76.1709116976335;1;0;0
57.999998;149.69725;215.730804443359;124.719398498535;52.4963021278381;108.1163772;1;0;0;0;0;0;1;54.291;88.9728365290783;1;0;0
46.000001;144.39881;240.845397949219;155.502807617188;47.1873909235001;117.880893300248;1;0;0;0;0;0;1;59.363;69.4984194038691;1;0;0
34.999999;148.0763;277.197113037109;196.239700317383;42.381089925766;130.209181141439;1;0;0;0;0;0;1;64.3;52.5579786197934;1;0;0
21.699999;205.59522;641.132629394531;410.244995117188;48.7164586782455;90.7380728554642;0;0;0;0;1;0;0;72.868;45.7331154978771;1;0;0
22.400001;223.35558;685.581787109375;436.362609863281;48.6336886882782;93.9168820994908;0;0;0;0;1;0;0;75.941;44.7160811405402;1;0;0
20;224.44549;723.619812011719;456.589996337891;48.3464002609253;96.9438699569134;0;0;0;0;1;0;0;78.56;44.566920211169;0;1;0
20.999999;224.27846;703.567199707031;447.337585449219;47.9612201452255;98.8554837446142;0;0;0;0;1;0;0;80.076;44.84162022;0;1;0
14.8;709.91608;1444.20104980469;1188.23095703125;31.457930803299;120.412554112554;0;0;0;1;0;0;0;67.551;41.3510145122706;0;1;0
14.7;683.97162;1405.44494628906;1135.67102050781;32.7398598194122;128.708333333333;0;0;0;1;0;0;0;66.81;43.8991986273938;0;1;0
9.7999997;420.49048;840.8798828125;745.303894042969;26.6235113143921;135.608622475401;0;0;0;1;0;0;0;73.255;42.2105502683892;0;1;0
10.1;527.59505;994.488220214844;872.197509765625;24.990339577198;137.693367875648;0;0;0;1;0;0;0;73.792;53.8638618382904;0;1;0
15.800001;796.94071;1573.68298339844;1342.30603027344;30.247700214386;234.606908225034;0;0;0;1;0;0;0;76.966;51.7937457997838;0;1;0
16.1;796.93537;1644.22998046875;1403.791015625;31.8706691265106;235.712929356538;0;0;0;1;0;0;0;77.224;52.9145728699203;0;1;0
24.1;62.015;135.314498901367;101.505401611328;39.9978399276733;32.2235547886109;1;1;0;0;0;0;0;76.624;75.8089723673681;1;0;0
23;58.732;148.510101318359;107.304496765137;44.1270709037781;38.105823986195;1;1;0;0;0;0;0;77.222;54.8870558776184;1;0;0
21.1;63.894469;155.818298339844;116.929000854492;41.5879905223846;40.7289473684211;1;1;0;0;0;0;0;77.648;52.5285800143465;1;0;0
12;803.426;1594.88793945312;1401.24499511719;27.1985590457916;130.749069054914;0;0;0;1;0;0;0;86.795;52.9459492095595;0;1;0
14;892.442;1708.43896484375;1484.34301757812;28.166338801384;144.8409;0;0;0;1;0;0;0;87.874;56.9149567170267;0;1;0
31.8;171.25;431.028503417969;261.750610351562;51.5211999416351;175.353363692817;0;0;0;0;1;0;0;63.371;65.8892952684275;1;0;0
49.5;181.67523;305.315704345703;181.906600952148;52.0561993122101;185.767832746843;0;0;0;0;1;0;0;66.003;63.0223805902884;1;0;0
40.5;201.73028;378.073791503906;248.22509765625;47.3266005516052;200.685593044918;0;0;0;0;1;0;0;73.753;57.3864372408513;1;0;0
20.999999;202.83465;496.606414794922;355.883514404297;41.9185698032379;222.292630925274;0;0;0;0;1;0;0;81.828;53.86292148;1;0;0
7.9999998;64.812186;202.048492431641;150.344299316406;40.1949107646942;10.2628611855198;1;1;0;0;0;0;0;50.511;91.2505952260795;1;0;0
14;77.492689;192.498001098633;155.714401245117;35.3300511837006;12.0742755296548;1;1;0;0;0;0;0;55.997;76.5874583896034;1;0;0
5.5;105.79154;249.731094360352;217.738494873047;27.6157289743423;15.3927145700202;1;1;0;0;0;0;0;68.236;49.2130947282274;1;0;0
36.700001;151.24939;353.953308105469;205.220504760742;53.363448381424;57.56384684;0;0;0;0;1;0;0;62.104;61.05319685;1;0;0
32.800001;158.83057;360.7919921875;232.519195556641;48.8044291734695;60.4409607022065;0;0;0;0;1;0;0;62.69;58.813263359132;1;0;0
22.499999;154.3919;415.507904052734;289.258514404297;44.9948787689209;64.2286922209696;0;0;0;0;1;0;0;63.261;55.9168412913275;1;0;0
25;161.76067;413.093597412109;286.810913085938;45.7115292549133;69.9535231116122;0;0;0;0;1;0;0;63.986;54.03376113;1;0;0
